"variable" "rate" "dilution" "log_dilution" "amendment" "auxo" "strain" "kingdom" "phylum" "class" "order" "family" "genus" "order_abbrev" "strain_amendment" "min_strain" "rate_norm" "max_strain"
"175" "F6" 0.00318761617157556 1.23e-11 -25.1214218535502 "B7" "B7" "C2M19" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Alteromonadaceae" "Colwellia" "Alt" "Alt_C2M19_B7" -0.0016531631567155 0.0380442681576302 0.127240700444915
"185" "F7" 0.00264131008720144 1.23e-11 -25.1214218535502 "B7" "B7" "C2M19" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Alteromonadaceae" "Colwellia" "Alt" "Alt_C2M19_B7" -0.0016531631567155 0.0337507827990627 0.127240700444915
"195" "G5" 0.000365331216396216 1.23e-12 -27.4240069465442 "B7" "B7" "C2M19" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Alteromonadaceae" "Colwellia" "Alt" "Alt_C2M19_B7" -0.0016531631567155 0.0158635905496729 0.127240700444915
"205" "G6" 0.00061196168025066 1.23e-12 -27.4240069465442 "B7" "B7" "C2M19" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Alteromonadaceae" "Colwellia" "Alt" "Alt_C2M19_B7" -0.0016531631567155 0.0178018890893073 0.127240700444915
"219" "G7" 0.000372240222547084 1.23e-12 -27.4240069465442 "B7" "B7" "C2M19" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Alteromonadaceae" "Colwellia" "Alt" "Alt_C2M19_B7" -0.0016531631567155 0.0159178892616943 0.127240700444915
"225" "H5" 0.00031119335945767 0 -Inf "B7" "B7" "C2M19" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Alteromonadaceae" "Colwellia" "Alt" "Alt_C2M19_B7" -0.0016531631567155 0.0154381146072327 0.127240700444915
"235" "H6" 0.00018465982032051 0 -Inf "B7" "B7" "C2M19" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Alteromonadaceae" "Colwellia" "Alt" "Alt_C2M19_B7" -0.0016531631567155 0.0144436722731783 0.127240700444915
"245" "H7" -0.0016531631567155 0 -Inf "B7" "B7" "C2M19" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Alteromonadaceae" "Colwellia" "Alt" "Alt_C2M19_B7" -0.0016531631567155 0 0.127240700444915
"120" "A9" 0.111904367538017 7.38e-08 -16.42190710534 "B12" "B12" "B2R08" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Shewanellaceae" "Shewanella" "Alt" "Alt_B2R08_B12" -0.000276726783127841 1 0.112181094321145
"220" "A10" 0.107408411170782 7.38e-08 -16.42190710534 "B12" "B12" "B2R08" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Shewanellaceae" "Shewanella" "Alt" "Alt_B2R08_B12" -0.000276726783127841 0.959922334556977 0.112181094321145
"318" "A11" 0.107410500078941 7.38e-08 -16.42190710534 "B12" "B12" "B2R08" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Shewanellaceae" "Shewanella" "Alt" "Alt_B2R08_B12" -0.000276726783127841 0.959940955414366 0.112181094321145
"411" "B9" 0.0966319498311566 7.38e-09 -18.724492198334 "B12" "B12" "B2R08" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Shewanellaceae" "Shewanella" "Alt" "Alt_B2R08_B12" -0.000276726783127841 0.863859255436219 0.112181094321145
"56" "B10" 0.105978785172517 7.38e-09 -18.724492198334 "B12" "B12" "B2R08" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Shewanellaceae" "Shewanella" "Alt" "Alt_B2R08_B12" -0.000276726783127841 0.947178422519782 0.112181094321145
"66" "B11" 0.108583341763578 7.38e-09 -18.724492198334 "B12" "B12" "B2R08" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Shewanellaceae" "Shewanella" "Alt" "Alt_B2R08_B12" -0.000276726783127841 0.970395851506567 0.112181094321145
"76" "C9" 0.10771267788249 7.38e-10 -21.0270772913281 "B12" "B12" "B2R08" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Shewanellaceae" "Shewanella" "Alt" "Alt_B2R08_B12" -0.000276726783127841 0.962634616100933 0.112181094321145
"86" "C10" 0.105473794090709 7.38e-10 -21.0270772913281 "B12" "B12" "B2R08" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Shewanellaceae" "Shewanella" "Alt" "Alt_B2R08_B12" -0.000276726783127841 0.942676852225216 0.112181094321145
"96" "C11" 0.106906956069102 7.38e-10 -21.0270772913281 "B12" "B12" "B2R08" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Shewanellaceae" "Shewanella" "Alt" "Alt_B2R08_B12" -0.000276726783127841 0.955452284547976 0.112181094321145
"106" "D9" 0.0957569773527617 7.38e-11 -23.3296623843221 "B12" "B12" "B2R08" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Shewanellaceae" "Shewanella" "Alt" "Alt_B2R08_B12" -0.000276726783127841 0.85605961251341 0.112181094321145
"1110" "D10" 0.0927834252559859 7.38e-11 -23.3296623843221 "B12" "B12" "B2R08" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Shewanellaceae" "Shewanella" "Alt" "Alt_B2R08_B12" -0.000276726783127841 0.829552899285392 0.112181094321145
"126" "D11" 0.0901276777721344 7.38e-11 -23.3296623843221 "B12" "B12" "B2R08" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Shewanellaceae" "Shewanella" "Alt" "Alt_B2R08_B12" -0.000276726783127841 0.805879146591834 0.112181094321145
"136" "E9" 0.00736138928201793 7.38e-12 -25.6322474773162 "B12" "B12" "B2R08" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Shewanellaceae" "Shewanella" "Alt" "Alt_B2R08_B12" -0.000276726783127841 0.0680873734684729 0.112181094321145
"146" "E10" 0.00715815227834038 7.38e-12 -25.6322474773162 "B12" "B12" "B2R08" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Shewanellaceae" "Shewanella" "Alt" "Alt_B2R08_B12" -0.000276726783127841 0.0662756867051424 0.112181094321145
"156" "E11" 0.007365926852651 7.38e-12 -25.6322474773162 "B12" "B12" "B2R08" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Shewanellaceae" "Shewanella" "Alt" "Alt_B2R08_B12" -0.000276726783127841 0.0681278220900568 0.112181094321145
"166" "F9" 0.000154469739577162 7.38e-13 -27.9348325703102 "B12" "B12" "B2R08" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Shewanellaceae" "Shewanella" "Alt" "Alt_B2R08_B12" -0.000276726783127841 0.00384375393478157 0.112181094321145
"176" "F10" 6.0797509775016e-05 7.38e-13 -27.9348325703102 "B12" "B12" "B2R08" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Shewanellaceae" "Shewanella" "Alt" "Alt_B2R08_B12" -0.000276726783127841 0.0030087448776049 0.112181094321145
"186" "F11" 0.000859867019777062 7.38e-13 -27.9348325703102 "B12" "B12" "B2R08" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Shewanellaceae" "Shewanella" "Alt" "Alt_B2R08_B12" -0.000276726783127841 0.0101317767470795 0.112181094321145
"196" "G9" -6.15828563203455e-05 7.38e-14 -30.2374176633043 "B12" "B12" "B2R08" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Shewanellaceae" "Shewanella" "Alt" "Alt_B2R08_B12" -0.000276726783127841 0.00191782695746928 0.112181094321145
"206" "G10" -0.000276726783127841 7.38e-14 -30.2374176633043 "B12" "B12" "B2R08" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Shewanellaceae" "Shewanella" "Alt" "Alt_B2R08_B12" -0.000276726783127841 0 0.112181094321145
"2110" "G11" 0.00015367032762889 7.38e-14 -30.2374176633043 "B12" "B12" "B2R08" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Shewanellaceae" "Shewanella" "Alt" "Alt_B2R08_B12" -0.000276726783127841 0.00383662785036325 0.112181094321145
"226" "H9" -0.00021466691013635 0 -Inf "B12" "B12" "B2R08" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Shewanellaceae" "Shewanella" "Alt" "Alt_B2R08_B12" -0.000276726783127841 0.000553211513642664 0.112181094321145
"236" "H10" -0.000122314997757958 0 -Inf "B12" "B12" "B2R08" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Shewanellaceae" "Shewanella" "Alt" "Alt_B2R08_B12" -0.000276726783127841 0.00137645105268667 0.112181094321145
"246" "H11" 0.000882244234594259 0 -Inf "B12" "B12" "B2R08" "Bacteria" "Proteobacteria" "Gammaproteobacteria" "Alteromonadales" "Shewanellaceae" "Shewanella" "Alt" "Alt_B2R08_B12" -0.000276726783127841 0.0103312507756813 0.112181094321145
